gvkey,permno,adate,qdate,public_date,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,PEG_1yrforward,PEG_ltgforward,TICKER,cusip
012141,10107,2008/06/30,2008/09/30,2009/01/31,12.020,0.140,10.431,8.814,8.953,8.953,8.953,2.463,7.958,0.229,0.288,0.423,0.387,0.845,0.382,0.324,0.378,0.506,0.681,0.258,0.506,0.000,0.506,1.226,0.532,0.756,1.000,0.000,0.014,0.000,212.000,212.000,0.684,0.026,0.279,0.007,0.019,0.999,0.771,0.000,1.011,0.739,0.592,0.819,5.763,0.000,0.486,0.105,0.945,167.802,226.462,0.888,1.505,1.545,,9.210,0.894,5.533,2.748,1.740,1.740,4.381,0.140,0.020,0.000,-0.020,4.525,0.506,3.04%,1.860,0.890,MSFT,59491810
012141,10107,2008/06/30,2008/12/31,2009/02/28,10.944,0.200,9.051,8.455,8.636,8.636,8.636,2.317,7.066,0.244,0.278,0.415,0.377,0.842,0.362,0.316,0.373,0.486,0.651,0.258,0.486,0.000,0.486,1.175,0.511,0.761,1.000,0.000,0.028,0.000,212.000,212.000,0.690,0.027,0.275,0.014,0.039,1.000,0.792,0.000,0.981,0.774,0.592,0.823,5.237,0.000,0.483,0.115,0.934,167.802,226.462,0.871,1.479,1.520,,8.956,0.903,5.641,2.753,1.747,1.747,4.536,0.145,0.020,0.000,-0.045,4.164,0.482,3.22%,-1.468,0.845,MSFT,59491810
012141,10107,2008/06/30,2008/12/31,2009/03/31,12.459,0.200,9.051,9.618,9.824,9.824,9.824,2.637,8.045,0.244,0.278,0.415,0.377,0.842,0.362,0.316,0.373,0.486,0.651,0.258,0.486,0.000,0.486,1.175,0.511,0.761,1.000,0.000,0.028,0.000,212.000,212.000,0.690,0.027,0.275,0.014,0.039,1.000,0.792,0.000,0.981,0.774,0.592,0.823,5.237,0.000,0.483,0.115,0.934,167.802,226.462,0.871,1.479,1.520,,8.956,0.903,5.641,2.753,1.747,1.747,4.536,0.145,0.020,0.000,-0.045,4.741,0.548,2.83%,-1.531,0.961,MSFT,59491810
012141,10107,2008/06/30,2008/12/31,2009/04/30,13.743,0.200,9.051,10.607,10.834,10.834,10.834,2.909,8.874,0.244,0.278,0.415,0.377,0.842,0.362,0.316,0.373,0.486,0.651,0.258,0.486,0.000,0.486,1.175,0.511,0.761,1.000,0.000,0.028,0.000,212.000,212.000,0.690,0.027,0.275,0.014,0.039,1.000,0.792,0.000,0.981,0.774,0.592,0.823,5.237,0.000,0.483,0.115,0.934,167.802,226.462,0.871,1.479,1.520,,8.956,0.903,5.641,2.753,1.747,1.747,4.536,0.145,0.020,0.000,-0.045,5.230,0.605,2.57%,-1.688,1.060,MSFT,59491810
012141,10107,2008/06/30,2009/03/31,2009/05/31,13.708,0.226,8.367,11.736,11.869,12.006,12.006,3.039,9.642,0.274,0.259,0.407,0.366,0.837,0.354,0.299,0.363,0.446,0.615,0.258,0.446,0.000,0.446,1.121,0.485,0.752,1.000,0.000,0.042,0.000,212.000,212.000,0.689,0.027,0.272,0.022,0.060,1.000,0.776,0.000,0.979,0.758,0.592,0.820,4.879,0.000,0.482,0.124,0.929,167.802,226.462,0.888,1.519,1.561,,9.361,0.898,5.657,2.821,1.732,1.732,4.286,0.150,0.020,0.000,-0.050,5.032,1.023,2.49%,-1.403,1.163,MSFT,59491810
012141,10107,2008/06/30,2009/03/31,2009/06/30,15.612,0.226,8.367,13.354,13.506,13.661,13.661,3.461,10.982,0.274,0.259,0.407,0.366,0.837,0.354,0.299,0.363,0.446,0.615,0.258,0.446,0.000,0.446,1.121,0.485,0.752,1.000,0.000,0.042,0.000,212.000,212.000,0.689,0.027,0.272,0.022,0.060,1.000,0.776,0.000,0.979,0.758,0.592,0.820,4.879,0.000,0.482,0.124,0.929,167.802,226.462,0.888,1.519,1.561,,9.361,0.898,5.657,2.821,1.732,1.732,4.286,0.150,0.020,0.000,-0.050,5.732,1.164,2.19%,-1.597,1.254,MSFT,59491810
012141,10107,2008/06/30,2009/03/31,2009/07/31,15.452,0.226,8.367,13.213,13.364,13.517,13.517,3.426,10.870,0.274,0.259,0.407,0.366,0.837,0.354,0.299,0.363,0.446,0.615,0.258,0.446,0.000,0.446,1.121,0.485,0.752,1.000,0.000,0.042,0.000,212.000,212.000,0.689,0.027,0.272,0.022,0.060,1.000,0.776,0.000,0.979,0.758,0.592,0.820,4.879,0.000,0.482,0.124,0.929,167.802,226.462,0.888,1.519,1.561,,9.361,0.898,5.657,2.821,1.732,1.732,4.286,0.150,0.020,0.000,-0.050,5.673,1.151,2.21%,-1.404,1.253,MSFT,59491810
012141,10107,2009/06/30,2009/06/30,2009/08/31,15.432,0.187,9.463,14.939,15.030,15.216,15.216,3.759,11.538,0.317,0.249,0.393,0.354,0.831,0.339,0.293,0.305,0.384,0.507,0.265,0.384,0.403,0.384,0.838,0.389,0.624,0.913,0.087,0.133,0.087,0.020,0.013,0.820,0.015,0.227,0.074,0.251,0.348,0.705,0.098,0.850,0.704,0.497,0.836,5.087,0.095,0.492,0.187,0.969,384.395,544.553,1.163,1.796,1.823,,11.591,0.776,4.716,2.608,1.349,1.477,2.627,0.154,0.024,0.000,-0.059,5.553,1.245,2.11%,-8.622,1.463,MSFT,59491810
012141,10107,2009/06/30,2009/06/30,2009/09/30,16.082,0.187,9.463,15.588,15.683,15.877,15.877,3.917,12.024,0.317,0.249,0.393,0.354,0.831,0.339,0.293,0.305,0.384,0.507,0.265,0.384,0.403,0.384,0.838,0.389,0.624,0.913,0.087,0.133,0.087,0.020,0.013,0.820,0.015,0.227,0.074,0.251,0.348,0.705,0.098,0.850,0.704,0.497,0.836,5.087,0.095,0.492,0.187,0.969,384.395,544.553,1.163,1.796,1.823,,11.591,0.776,4.716,2.608,1.349,1.477,2.627,0.154,0.024,0.000,-0.059,5.787,1.299,2.02%,-8.997,1.527,MSFT,59491810
012141,10107,2009/06/30,2009/06/30,2009/10/31,17.298,0.187,9.463,16.806,16.909,17.117,17.117,4.213,12.934,0.317,0.249,0.393,0.354,0.831,0.339,0.293,0.305,0.384,0.507,0.265,0.384,0.403,0.384,0.838,0.389,0.624,0.913,0.087,0.133,0.087,0.020,0.013,0.820,0.015,0.227,0.074,0.251,0.348,0.705,0.098,0.850,0.704,0.497,0.836,5.087,0.095,0.492,0.187,0.969,384.395,544.553,1.163,1.796,1.823,,11.591,0.776,4.716,2.608,1.349,1.477,2.627,0.154,0.024,0.000,-0.059,6.224,1.401,1.88%,-9.700,1.646,MSFT,59491810
