,date,account_value
0,2020-08-01,1000000.0
1,2020-08-02,999816.4512073097
2,2020-08-03,999632.7630657577
3,2020-08-04,999845.3482508966
4,2020-08-05,1008614.7890804367
5,2020-08-06,1016723.1946991348
6,2020-08-07,1017612.6608290024
7,2020-08-08,1020813.8661788559
8,2020-08-09,1020786.8527628899
9,2020-08-10,1020758.6540713158
10,2020-08-11,1014960.2124789086
11,2020-08-12,1026564.716764206
12,2020-08-13,1022860.86415271
13,2020-08-14,1025590.9607620087
14,2020-08-15,1026549.6487742387
15,2020-08-16,1026524.5692021218
16,2020-08-17,1026498.8363608475
17,2020-08-18,1027617.5794070663
18,2020-08-19,1024251.0930709611
19,2020-08-20,1024955.4580229721
20,2020-08-21,1027594.936933548
21,2020-08-22,1032663.9676513062
22,2020-08-23,1032654.3770244294
23,2020-08-24,1032644.6716250229
24,2020-08-25,1050255.8533824845
25,2020-08-26,1071715.3468659401
26,2020-08-27,1070643.662730999
27,2020-08-28,1071849.7042625314
28,2020-08-29,1068715.5867972374
29,2020-08-30,1068517.221043808
30,2020-08-31,1068316.0150273019
31,2020-09-01,1074349.5189728928
32,2020-09-02,1093708.9447847826
33,2020-09-03,1061919.89277697
34,2020-09-04,1051968.1325557863
35,2020-09-05,1033106.1856691896
36,2020-09-06,1033087.1705048104
37,2020-09-07,1033068.4315582544
38,2020-09-08,1033061.587138035
39,2020-09-09,1049492.6641571238
40,2020-09-10,1036814.9882011071
41,2020-09-11,1040192.9350088311
42,2020-09-12,1051837.820591076
43,2020-09-13,1051825.38252203
44,2020-09-14,1051812.6270208817
45,2020-09-15,1056771.2141311264
46,2020-09-16,1058124.940072281
47,2020-09-17,1052317.9660153466
48,2020-09-18,1045801.2226526604
49,2020-09-19,1024810.2384056512
50,2020-09-20,1024805.5513348085
51,2020-09-21,1024800.8968260194
52,2020-09-22,1032981.7628593751
53,2020-09-23,1018700.1772436143
54,2020-09-24,1018305.631040001
55,2020-09-25,1032743.970889641
56,2020-09-26,1045159.4818359185
57,2020-09-27,1045150.418549801
58,2020-09-28,1045144.8990388757
