,date,account_value
0,2020-08-01,1000000.0
1,2020-08-02,999833.3905296174
2,2020-08-03,999663.9886648102
3,2020-08-04,1000659.6144754484
4,2020-08-05,1012997.3131003797
5,2020-08-06,1016220.6272046696
6,2020-08-07,1020831.1499965016
7,2020-08-08,1035415.3498569218
8,2020-08-09,1035361.5163160741
9,2020-08-10,1035307.5695029256
10,2020-08-11,1038366.4538726003
11,2020-08-12,1039275.4002339437
12,2020-08-13,1034113.821345226
13,2020-08-14,1037741.3633357694
14,2020-08-15,1026811.5264531056
15,2020-08-16,1026807.3516084477
16,2020-08-17,1026803.1767637898
17,2020-08-18,1023107.5929010579
18,2020-08-19,1020254.1992385938
19,2020-08-20,1019384.8377082899
20,2020-08-21,1018560.4795387342
21,2020-08-22,1039814.5310638502
22,2020-08-23,1039814.5310638502
23,2020-08-24,1039814.5310638502
24,2020-08-25,1044327.779251869
25,2020-08-26,1042284.5186050489
26,2020-08-27,1041242.2508920361
27,2020-08-28,1041937.2126475447
28,2020-08-29,1038827.6192069318
29,2020-08-30,1038639.8511282231
30,2020-08-31,1038449.9801260907
31,2020-09-01,1043032.8890768773
32,2020-09-02,1061054.1862394977
33,2020-09-03,1036011.6314205014
34,2020-09-04,1035951.9709116513
35,2020-09-05,1014638.836416702
36,2020-09-06,1014593.6768305318
37,2020-09-07,1014559.0421685559
38,2020-09-08,1014540.263585861
39,2020-09-09,1023096.3044583088
40,2020-09-10,1012154.9663183248
41,2020-09-11,1022791.8539754903
42,2020-09-12,1039414.9423925435
43,2020-09-13,1039414.9423925435
44,2020-09-14,1039414.9423925435
45,2020-09-15,1035448.4819967306
46,2020-09-16,1042160.1285955465
47,2020-09-17,1037712.9394323385
48,2020-09-18,1024952.2155630147
49,2020-09-19,996076.5433980977
50,2020-09-20,996076.2746047665
51,2020-09-21,996076.0058114354
52,2020-09-22,1001701.8463702161
53,2020-09-23,986939.6080431897
54,2020-09-24,981226.9705004651
55,2020-09-25,997402.3389201124
56,2020-09-26,1019112.5848727186
57,2020-09-27,1019112.5848727186
58,2020-09-28,1019112.5848727186
59,2020-09-29,1012315.9407572706
60,2020-09-30,1021806.9263071973
61,2020-10-01,1024663.0287089307
62,2020-10-02,1023422.9399065931
63,2020-10-03,1042596.7720446546
64,2020-10-04,1042596.7720446546
65,2020-10-05,1042596.7720446546
66,2020-10-06,1022555.3913989026
67,2020-10-07,1042318.178138252
68,2020-10-08,1047647.8707232435
69,2020-10-09,1048580.0736193615
70,2020-10-10,1052820.6764445263
71,2020-10-11,1052820.6764445263
72,2020-10-12,1052820.6764445263
73,2020-10-13,1041285.601298805
74,2020-10-14,1040594.1371188123
75,2020-10-15,1042145.1464152295
76,2020-10-16,1048286.8485865552
77,2020-10-17,1033412.2907633741
78,2020-10-18,1033412.2907633741
79,2020-10-19,1033412.2907633741
80,2020-10-20,1040606.4579691846
81,2020-10-21,1038339.4517931897
82,2020-10-22,1053461.8401026684
83,2020-10-23,1044829.9850230176
84,2020-10-24,1017840.636794563
85,2020-10-25,1017840.636794563
86,2020-10-26,1017840.636794563
87,2020-10-27,1001700.3723864515
88,2020-10-28,969969.4992365796
89,2020-10-29,973666.1450839002
90,2020-10-30,967280.1159090955
91,2020-10-31,985619.3437685926
92,2020-11-01,985619.3437685926
93,2020-11-02,985616.0579024884
94,2020-11-03,1007362.2465389478
95,2020-11-04,1006438.8300557096
96,2020-11-05,1025798.6814808805
97,2020-11-06,1025010.873737808
98,2020-11-07,1093556.2885441738
99,2020-11-08,1092462.7546237751
100,2020-11-09,1092462.7546237751
101,2020-11-10,1092462.7546237751
102,2020-11-11,1091192.7419778593
103,2020-11-12,1085903.1897697446
104,2020-11-13,1096116.621959083
105,2020-11-14,1113015.358409488
106,2020-11-15,1112810.7691895901
107,2020-11-16,1112680.966326057
108,2020-11-17,1112407.9897585101
109,2020-11-18,1097736.615520721
110,2020-11-19,1100516.5790353543
111,2020-11-20,1091757.4894321668
112,2020-11-21,1110610.130310432
113,2020-11-22,1110606.5143031077
114,2020-11-23,1110602.8982957837
115,2020-11-24,1130870.5667750011
116,2020-11-25,1125926.648935474
117,2020-11-26,1124848.956407192
118,2020-11-27,1124846.5012945896
119,2020-11-28,1110599.7150444523
120,2020-11-29,1110596.7705293538
121,2020-11-30,1110593.8260142552
122,2020-12-01,1119721.0098522755
123,2020-12-02,1129191.9864847562
124,2020-12-03,1141013.1210452649
125,2020-12-04,1146533.7696766926
126,2020-12-05,1144206.8895535732
127,2020-12-06,1144202.3520262372
128,2020-12-07,1144197.814498901
129,2020-12-08,1146740.5063607555
130,2020-12-09,1141608.5400776593
131,2020-12-10,1141099.780405525
132,2020-12-11,1144148.5162254635
133,2020-12-12,1143004.4081202352
134,2020-12-13,1142808.8389696274
135,2020-12-14,1142609.6162499583
136,2020-12-15,1149322.0664353296
137,2020-12-16,1145327.5854235918
138,2020-12-17,1147915.2863955346
139,2020-12-18,1143136.4328210908
140,2020-12-19,1141352.9292339175
141,2020-12-20,1141304.6068947527
142,2020-12-21,1141256.7223982508
143,2020-12-22,1132712.9780936625
144,2020-12-23,1139848.2977635309
145,2020-12-24,1138964.5311382867
146,2020-12-25,1145086.4167015764
147,2020-12-26,1145076.5390776063
148,2020-12-27,1145066.6614536364
149,2020-12-28,1145056.7838296664
150,2020-12-29,1144277.5128913347
151,2020-12-30,1148275.0497994157
152,2020-12-31,1155524.5781306687
153,2021-01-01,1129336.6335505906
154,2021-01-02,1129336.6335505906
155,2021-01-03,1129336.6335505906
156,2021-01-04,1129336.6335505906
157,2021-01-05,1140197.1561603013
158,2021-01-06,1158379.0221728745
159,2021-01-07,1161677.219572014
160,2021-01-08,1161089.7593173448
161,2021-01-09,1155785.0163745347
162,2021-01-10,1155785.0163745347
163,2021-01-11,1155785.0163745347
164,2021-01-12,1156777.125028557
165,2021-01-13,1157672.8922431339
166,2021-01-14,1161355.801490723
167,2021-01-15,1152836.8454629823
168,2021-01-16,1165891.8892320557
169,2021-01-17,1165890.0437029458
170,2021-01-18,1165887.7164897693
171,2021-01-19,1165885.3892765925
172,2021-01-20,1175404.9591047366
173,2021-01-21,1169306.3639092562
174,2021-01-22,1159296.4244485018
