,date,account_value
0,2020-08-01,1000000.0
1,2020-08-02,999860.2008652573
2,2020-08-03,999720.4017305146
3,2020-08-04,1002727.3092836991
4,2020-08-05,1011586.8114664536
5,2020-08-06,1013547.4724209062
6,2020-08-07,1017296.9493483964
7,2020-08-08,1036897.5873034822
8,2020-08-09,1036889.6165717622
9,2020-08-10,1036889.6165717622
10,2020-08-11,1035693.2049354097
11,2020-08-12,1044301.496614792
12,2020-08-13,1039029.5930274507
13,2020-08-14,1042551.1377738497
14,2020-08-15,1040721.7275565645
15,2020-08-16,1040721.7275565645
16,2020-08-17,1040721.7275565645
17,2020-08-18,1035004.3155616304
18,2020-08-19,1031303.6363395235
19,2020-08-20,1027474.381998398
20,2020-08-21,1031116.0795081636
21,2020-08-22,1044487.3360236665
22,2020-08-23,1044487.3360236665
23,2020-08-24,1044487.3360236665
24,2020-08-25,1042766.8803580782
25,2020-08-26,1042249.4368308565
26,2020-08-27,1044621.9119285127
27,2020-08-28,1049550.3766273044
28,2020-08-29,1041437.4783500215
29,2020-08-30,1041437.4783500215
30,2020-08-31,1041437.4783500215
31,2020-09-01,1044400.3767951509
32,2020-09-02,1062470.5172599338
33,2020-09-03,1038338.978029587
34,2020-09-04,1033230.9111960909
35,2020-09-05,1018826.4235633394
36,2020-09-06,1018826.4235633394
37,2020-09-07,1018826.4235633394
38,2020-09-08,1018826.4235633394
39,2020-09-09,1034336.9883140108
40,2020-09-10,1020302.4987739107
41,2020-09-11,1029568.9200347444
42,2020-09-12,1043921.4247993013
43,2020-09-13,1043921.4247993013
44,2020-09-14,1043921.4247993013
45,2020-09-15,1042095.7338584444
46,2020-09-16,1047004.0298026582
47,2020-09-17,1043956.4083350679
48,2020-09-18,1033631.4909842989
49,2020-09-19,1009946.1672843477
50,2020-09-20,1009946.1672843477
51,2020-09-21,1009946.1672843477
52,2020-09-22,1010590.3637412569
53,2020-09-23,999828.4852355501
54,2020-09-24,996040.644712784
55,2020-09-25,1013578.339571335
56,2020-09-26,1029631.5163672945
57,2020-09-27,1029631.5163672945
58,2020-09-28,1029631.5163672945
59,2020-09-29,1025969.4617789766
60,2020-09-30,1038569.5686744234
61,2020-10-01,1038964.3630622408
62,2020-10-02,1042706.3202384493
63,2020-10-03,1058853.05750499
64,2020-10-04,1058853.05750499
65,2020-10-05,1058853.05750499
66,2020-10-06,1040222.3496955415
67,2020-10-07,1061790.4546912692
68,2020-10-08,1068551.0208686374
69,2020-10-09,1072378.6292670749
70,2020-10-10,1078503.4365409396
71,2020-10-11,1078503.4365409396
72,2020-10-12,1078503.4365409396
73,2020-10-13,1076541.2676414035
74,2020-10-14,1067921.5241187594
75,2020-10-15,1074310.2048743747
76,2020-10-16,1081478.2973426364
77,2020-10-17,1068640.7366202853
78,2020-10-18,1068640.7366202853
79,2020-10-19,1068640.7366202853
80,2020-10-20,1071525.1269248507
81,2020-10-21,1066417.4557593844
82,2020-10-22,1076008.3081000827
83,2020-10-23,1076471.6474784396
84,2020-10-24,1050824.6958030246
85,2020-10-25,1050824.6958030246
86,2020-10-26,1050824.6958030246
87,2020-10-27,1037695.6358397981
88,2020-10-28,1000566.6487601778
89,2020-10-29,1001969.3592170259
90,2020-10-30,997842.7229941866
91,2020-10-31,1017269.6775077364
92,2020-11-01,1017269.6775077364
93,2020-11-02,1017269.6775077364
94,2020-11-03,1040201.9029639742
95,2020-11-04,1056335.802728989
96,2020-11-05,1072817.5831244967
97,2020-11-06,1065294.5592750094
98,2020-11-07,1088776.2623389743
99,2020-11-08,1088776.2623389743
100,2020-11-09,1088776.2623389743
101,2020-11-10,1105618.4377997897
102,2020-11-11,1102011.5661414645
103,2020-11-12,1091029.4945090793
104,2020-11-13,1107498.2877982638
105,2020-11-14,1130309.1483710788
106,2020-11-15,1130309.1483710788
107,2020-11-16,1130309.1483710788
108,2020-11-17,1125476.8156226657
109,2020-11-18,1110242.1128181003
110,2020-11-19,1109035.3738654635
111,2020-11-20,1101588.706079819
112,2020-11-21,1120741.0592978976
113,2020-11-22,1120741.0592978976
114,2020-11-23,1120741.0592978976
