,date,account_value
0,2020-08-01,1000000.0
1,2020-08-02,999947.3143669966
2,2020-08-03,999894.6287339933
3,2020-08-04,1000556.7982950817
4,2020-08-05,1003701.0162227168
5,2020-08-06,1005653.7736939308
6,2020-08-07,1005539.1623626015
7,2020-08-08,1008576.0031747887
8,2020-08-09,1008521.44719123
9,2020-08-10,1008466.8912076714
10,2020-08-11,1006647.7530860511
11,2020-08-12,1012227.1104381476
12,2020-08-13,1011437.9461413792
13,2020-08-14,1013140.9928218983
14,2020-08-15,1014103.568686919
15,2020-08-16,1014048.530290198
16,2020-08-17,1013993.4918934772
17,2020-08-18,1012424.2352122715
18,2020-08-19,1009064.2734022357
19,2020-08-20,1009778.1112167308
20,2020-08-21,1011327.7831781643
21,2020-08-22,1020327.1593251026
22,2020-08-23,1020273.3533134906
23,2020-08-24,1020217.6581836841
24,2020-08-25,1030043.4307388827
25,2020-08-26,1061621.2919309833
26,2020-08-27,1070706.6394032505
27,2020-08-28,1074120.4106658313
28,2020-08-29,1065695.0142697627
29,2020-08-30,1065656.1555032947
30,2020-08-31,1065621.1350936114
31,2020-09-01,1068532.483358256
32,2020-09-02,1082194.3755063121
33,2020-09-03,1052850.8182952146
34,2020-09-04,1044567.5399443691
35,2020-09-05,1024645.9117443798
36,2020-09-06,1024625.5472908047
37,2020-09-07,1024604.7097384747
38,2020-09-08,1024582.8804428966
39,2020-09-09,1040858.9698887356
40,2020-09-10,1027893.6580711621
41,2020-09-11,1030695.729222718
42,2020-09-12,1040206.6099043129
43,2020-09-13,1040206.6099043129
44,2020-09-14,1040206.6099043129
45,2020-09-15,1041092.7219953773
46,2020-09-16,1043330.4971113441
47,2020-09-17,1035449.8658781288
48,2020-09-18,1033872.947970414
49,2020-09-19,1011370.9087171791
50,2020-09-20,1011367.7471672447
51,2020-09-21,1011364.553055249
52,2020-09-22,1013361.3148108261
53,2020-09-23,998082.4194479873
54,2020-09-24,999615.6000060013
55,2020-09-25,1010575.1146180427
56,2020-09-26,1025276.6616481026
57,2020-09-27,1025276.6616481026
58,2020-09-28,1025276.6616481026
59,2020-09-29,1022005.3268550118
60,2020-09-30,1031544.47291977
61,2020-10-01,1030065.2011759956
62,2020-10-02,1025292.8249247749
63,2020-10-03,1041695.190838166
64,2020-10-04,1041695.190838166
65,2020-10-05,1041695.190838166
66,2020-10-06,1029161.7565653999
67,2020-10-07,1047344.9039424141
68,2020-10-08,1054106.2669413765
69,2020-10-09,1061956.4950526436
70,2020-10-10,1069490.2637828072
71,2020-10-11,1069490.2637828072
72,2020-10-12,1069490.2637828072
73,2020-10-13,1058080.05759842
74,2020-10-14,1053069.2068904121
75,2020-10-15,1052239.7384608467
76,2020-10-16,1055672.258037873
77,2020-10-17,1035853.6434748848
78,2020-10-18,1035853.6434748848
79,2020-10-19,1035853.6434748848
80,2020-10-20,1039053.1712458809
81,2020-10-21,1035583.9236720284
82,2020-10-22,1043569.1767543037
83,2020-10-23,1045987.8401148994
84,2020-10-24,1024357.8803141792
85,2020-10-25,1024357.8803141792
86,2020-10-26,1024357.8803141792
87,2020-10-27,1019102.5741618355
88,2020-10-28,981594.7296532791
89,2020-10-29,983155.9646083267
90,2020-10-30,979971.5784769123
91,2020-10-31,994230.2326057785
92,2020-11-01,994224.0716342285
93,2020-11-02,994220.7903002059
94,2020-11-03,1010651.6565874374
95,2020-11-04,1016634.364908055
96,2020-11-05,1036292.1267069137
97,2020-11-06,1040619.2707575118
98,2020-11-07,1084600.3198412217
99,2020-11-08,1084586.6584961212
100,2020-11-09,1084573.5473158767
101,2020-11-10,1088184.159917218
102,2020-11-11,1086437.2968724791
103,2020-11-12,1077236.7178891723
104,2020-11-13,1089369.979775769
105,2020-11-14,1105724.5244270675
106,2020-11-15,1105724.0965088927
107,2020-11-16,1105723.7087132805
108,2020-11-17,1096260.7118940437
109,2020-11-18,1085401.700168885
110,2020-11-19,1088732.7992823494
111,2020-11-20,1079381.9520686043
112,2020-11-21,1086081.3741572273
113,2020-11-22,1086081.3741572273
114,2020-11-23,1086081.3741572273
115,2020-11-24,1102108.5701182259
116,2020-11-25,1092277.726391114
117,2020-11-26,1092177.351757325
118,2020-11-27,1092177.351757325
119,2020-11-28,1085144.2854502571
120,2020-11-29,1085144.2854502571
121,2020-11-30,1085144.2854502571
122,2020-12-01,1094893.260135926
123,2020-12-02,1090990.657680787
124,2020-12-03,1095139.7349055184
125,2020-12-04,1107790.445217408
126,2020-12-05,1101727.8727076424
127,2020-12-06,1101727.8727076424
128,2020-12-07,1101727.8727076424
129,2020-12-08,1108889.164913453
130,2020-12-09,1106672.0724146736
131,2020-12-10,1103096.270771302
132,2020-12-11,1112539.1083796395
133,2020-12-12,1097864.96724347
134,2020-12-13,1097864.96724347
135,2020-12-14,1097864.96724347
136,2020-12-15,1109285.6135599983
137,2020-12-16,1105962.8153574837
138,2020-12-17,1118321.711170472
139,2020-12-18,1119198.1204722298
140,2020-12-19,1119130.3554957283
141,2020-12-20,1119130.3554957283
142,2020-12-21,1119130.3554957283
143,2020-12-22,1114672.3993037117
144,2020-12-23,1117726.5256464852
145,2020-12-24,1118337.8617289437
146,2020-12-25,1125527.3313639534
147,2020-12-26,1125527.3313639534
148,2020-12-27,1125527.3313639534
149,2020-12-28,1125527.3313639534
150,2020-12-29,1124609.8523905647
151,2020-12-30,1132444.3301051033
152,2020-12-31,1141546.0567896736
153,2021-01-01,1131483.9646036995
154,2021-01-02,1131483.9646036995
155,2021-01-03,1131483.9646036995
156,2021-01-04,1131483.9646036995
157,2021-01-05,1138316.5289347542
158,2021-01-06,1151484.916248597
159,2021-01-07,1164590.5297282112
160,2021-01-08,1166873.3953057565
161,2021-01-09,1166947.505589398
162,2021-01-10,1166947.505589398
163,2021-01-11,1166947.505589398
164,2021-01-12,1162102.9177788817
