,date,account_value
0,2020-08-01,1000000.0
1,2020-08-02,997724.863233032
2,2020-08-03,995613.3075842286
3,2020-08-04,996058.151874199
4,2020-08-05,1006325.6661493684
5,2020-08-06,1008423.0771742631
6,2020-08-07,1012064.0921150208
7,2020-08-08,1026764.3137106325
8,2020-08-09,1026001.8141716005
9,2020-08-10,1025488.0194547273
10,2020-08-11,1023036.1391674043
11,2020-08-12,1028945.9532401658
12,2020-08-13,1025322.3826888277
13,2020-08-14,1030458.3793047334
14,2020-08-15,1020747.7495412065
15,2020-08-16,1020731.7318873979
16,2020-08-17,1020715.1867201616
17,2020-08-18,1014911.7818387605
18,2020-08-19,1012766.4748876191
19,2020-08-20,1011037.6094060518
20,2020-08-21,1012289.8757500459
21,2020-08-22,1030267.0870197298
22,2020-08-23,1030249.5810475923
23,2020-08-24,1030230.1684480668
24,2020-08-25,1029346.7248832704
25,2020-08-26,1027183.1847346117
26,2020-08-27,1037781.5563252642
27,2020-08-28,1044419.4159757234
28,2020-08-29,1032507.7757928468
29,2020-08-30,1032488.000271454
30,2020-08-31,1032468.2247500612
31,2020-09-01,1039514.716895981
32,2020-09-02,1058327.957025223
33,2020-09-03,1029985.4896349717
34,2020-09-04,1029477.2389559175
35,2020-09-05,1000388.8478076936
36,2020-09-06,1000369.340719452
37,2020-09-07,1000349.8336312105
38,2020-09-08,1000330.3265429689
39,2020-09-09,1013333.9925237276
40,2020-09-10,996035.1895547487
41,2020-09-11,1003949.4390600587
42,2020-09-12,1018917.349843445
43,2020-09-13,1018895.2796634675
44,2020-09-14,1018874.8383262254
45,2020-09-15,1014225.7963406754
46,2020-09-16,1019257.3659423448
47,2020-09-17,1012850.4946237565
48,2020-09-18,1002138.4370835497
49,2020-09-19,981844.4639924623
50,2020-09-20,981844.4639924623
51,2020-09-21,981844.4639924623
52,2020-09-22,983466.3683923341
53,2020-09-23,971677.1054986573
54,2020-09-24,969070.0575021363
55,2020-09-25,991638.7411340333
56,2020-09-26,1012149.9721406556
57,2020-09-27,1012133.2394808962
58,2020-09-28,1012119.0396791078
59,2020-09-29,1007514.2410118105
60,2020-09-30,1020462.2917521669
61,2020-10-01,1024131.1861603166
62,2020-10-02,1022560.4312665177
63,2020-10-03,1038695.4365433122
