,date,account_value
0,2020-08-01,1000000.0
1,2020-08-02,999020.6708199691
2,2020-08-03,998041.3416399383
3,2020-08-04,998030.809693489
4,2020-08-05,1000864.3250266262
5,2020-08-06,1002860.7719845576
6,2020-08-07,1004062.5312570187
7,2020-08-08,1010615.5087507626
8,2020-08-09,1009602.974122314
9,2020-08-10,1008590.4394938655
10,2020-08-11,1004347.2438389583
11,2020-08-12,1013096.1049839779
12,2020-08-13,1009172.3081394954
13,2020-08-14,1007080.1057469173
14,2020-08-15,1006485.0611378475
15,2020-08-16,1006485.0611378475
16,2020-08-17,1006485.0611378475
17,2020-08-18,1007840.4746815487
18,2020-08-19,1005332.6554447933
19,2020-08-20,1004874.3516117855
20,2020-08-21,1009460.9054829403
21,2020-08-22,1025617.872371368
22,2020-08-23,1025617.872371368
23,2020-08-24,1025617.872371368
24,2020-08-25,1027949.8343006893
25,2020-08-26,1067951.9194294733
26,2020-08-27,1073831.167239837
27,2020-08-28,1069706.002650909
28,2020-08-29,1065959.1989170832
29,2020-08-30,1065959.1989170832
30,2020-08-31,1065959.1989170832
31,2020-09-01,1075547.8599125666
32,2020-09-02,1087207.0618931574
33,2020-09-03,1054357.2778431696
34,2020-09-04,1046526.0275685115
35,2020-09-05,1020744.3530995174
36,2020-09-06,1020744.3530995174
37,2020-09-07,1020744.3530995174
38,2020-09-08,1020744.3530995174
39,2020-09-09,1039089.5862614437
40,2020-09-10,1025451.5016209407
41,2020-09-11,1031318.973643951
42,2020-09-12,1041226.0340306087
43,2020-09-13,1041226.0340306087
44,2020-09-14,1041226.0340306087
45,2020-09-15,1042318.9547230526
46,2020-09-16,1042618.3787648006
47,2020-09-17,1031682.0765110775
48,2020-09-18,1021179.8331715389
49,2020-09-19,1010776.1908222957
50,2020-09-20,1010776.1908222957
51,2020-09-21,1010776.1908222957
52,2020-09-22,1015799.716159515
53,2020-09-23,996509.733157806
54,2020-09-24,1002187.1450611873
55,2020-09-25,1011036.7089115902
56,2020-09-26,1027309.8971974178
57,2020-09-27,1027309.8971974178
58,2020-09-28,1027309.8971974178
59,2020-09-29,1022455.0040165706
60,2020-09-30,1034950.7144886776
61,2020-10-01,1033624.4375187679
62,2020-10-02,1031497.8827397152
63,2020-10-03,1046209.3865925594
64,2020-10-04,1046209.3865925594
65,2020-10-05,1046209.3865925594
66,2020-10-06,1036979.3383290096
67,2020-10-07,1058984.1213642878
68,2020-10-08,1072225.604022674
69,2020-10-09,1076729.528506927
70,2020-10-10,1087828.757083587
71,2020-10-11,1087828.757083587
72,2020-10-12,1087828.757083587
73,2020-10-13,1079897.5921818537
74,2020-10-14,1073098.0496708674
75,2020-10-15,1071422.9225498957
76,2020-10-16,1070781.9689442439
77,2020-10-17,1058422.9627262873
78,2020-10-18,1058422.9627262873
79,2020-10-19,1058422.9627262873
80,2020-10-20,1064743.5280110163
81,2020-10-21,1061302.103656463
82,2020-10-22,1062250.1090733332
83,2020-10-23,1063890.8496739191
84,2020-10-24,1038867.8502537532
85,2020-10-25,1038867.8502537532
86,2020-10-26,1038867.8502537532
87,2020-10-27,1035364.4289662166
88,2020-10-28,1001761.0228916927
89,2020-10-29,1007001.1454884334
90,2020-10-30,998444.1261021419
91,2020-10-31,1012530.5369068905
92,2020-11-01,1012530.5369068905
93,2020-11-02,1012530.5369068905
94,2020-11-03,1035481.6066090389
95,2020-11-04,1043861.5749317928
96,2020-11-05,1069161.5098912043
97,2020-11-06,1064586.3324467463
98,2020-11-07,1084858.7377583308
99,2020-11-08,1084858.7377583308
100,2020-11-09,1084858.7377583308
101,2020-11-10,1090892.3483921809
102,2020-11-11,1095164.7268788142
103,2020-11-12,1081532.314304046
104,2020-11-13,1095688.4643208308
105,2020-11-14,1110167.5859715266
106,2020-11-15,1110167.5859715266
107,2020-11-16,1110167.5859715266
108,2020-11-17,1106388.914142303
109,2020-11-18,1098444.7967564387
110,2020-11-19,1105569.36755722
111,2020-11-20,1098801.0566670222
112,2020-11-21,1110075.4453236384
113,2020-11-22,1110075.4453236384
114,2020-11-23,1110075.4453236384
115,2020-11-24,1130590.2996861262
116,2020-11-25,1118885.5262181086
117,2020-11-26,1117584.0465351862
118,2020-11-27,1117584.0465351862
119,2020-11-28,1107088.4460865778
120,2020-11-29,1107088.4460865778
121,2020-11-30,1107088.4460865778
122,2020-12-01,1111773.2104069514
123,2020-12-02,1104275.2496601862
124,2020-12-03,1103968.8997990412
125,2020-12-04,1115904.16128128
126,2020-12-05,1110419.7571675105
127,2020-12-06,1110419.7571675105
128,2020-12-07,1110419.7571675105
129,2020-12-08,1112839.6421238703
130,2020-12-09,1112250.234126739
131,2020-12-10,1114357.9056202692
132,2020-12-11,1110960.8661915583
133,2020-12-12,1103680.9016682429
134,2020-12-13,1103680.9016682429
135,2020-12-14,1103680.9016682429
136,2020-12-15,1119144.9049794
137,2020-12-16,1120478.4825550837
138,2020-12-17,1128388.150859527
139,2020-12-18,1123190.9667851252
140,2020-12-19,1135576.3580738825
141,2020-12-20,1135576.3580738825
142,2020-12-21,1135576.3580738825
143,2020-12-22,1128823.729060821
144,2020-12-23,1133817.5823780817
145,2020-12-24,1135061.065906219
146,2020-12-25,1140116.7898823542
147,2020-12-26,1140116.7898823542
148,2020-12-27,1140116.7898823542
149,2020-12-28,1140116.7898823542
150,2020-12-29,1131691.5231053156
151,2020-12-30,1134073.1372181696
152,2020-12-31,1140552.4997441096
153,2021-01-01,1129982.2649418635
154,2021-01-02,1129982.2649418635
155,2021-01-03,1129982.2649418635
156,2021-01-04,1129982.2649418635
